MODEL,WEIGHT,STATION,THRESHOLD,timestamp,PHASE,prob
EQTransformer,original,ACOM,0.7,2023-06-18T03:46:57.060000Z,S,2
EQTransformer,original,ACOM,0.7,2023-06-19T12:49:45.250000Z,P,2
EQTransformer,original,ACOM,0.7,2023-06-19T12:49:47.810000Z,S,2
EQTransformer,original,ACOM,0.7,2023-06-19T22:04:21.900000Z,P,2
EQTransformer,original,ACOM,0.7,2023-06-19T22:04:25.140000Z,S,2
EQTransformer,original,ACOM,0.7,2023-06-20T00:08:21.350000Z,P,1
EQTransformer,original,ACOM,0.7,2023-06-20T00:08:24.510000Z,S,0
EQTransformer,original,ACOM,0.7,2023-06-21T14:18:26.770000Z,P,0
EQTransformer,original,ACOM,0.7,2023-06-21T14:18:30.580000Z,S,2
EQTransformer,original,ACOM,0.7,2023-06-23T10:33:27.110000Z,P,3
EQTransformer,original,ACOM,0.7,2023-06-23T10:33:37.030000Z,S,2
EQTransformer,original,ACOM,0.7,2023-06-28T08:32:57.970000Z,P,0
EQTransformer,original,ACOM,0.7,2023-06-28T08:33:01.470000Z,S,2
EQTransformer,original,AGOR,0.7,2023-06-04T17:57:13.260000Z,S,2
EQTransformer,original,AGOR,0.7,2023-06-10T03:34:10.260000Z,P,1
EQTransformer,original,AGOR,0.7,2023-06-10T03:34:12.540000Z,S,2
EQTransformer,original,AGOR,0.7,2023-06-23T05:21:59.750000Z,S,2
EQTransformer,original,BAD,0.7,2023-06-02T08:50:46.420000Z,P,2
EQTransformer,original,BAD,0.7,2023-06-03T00:31:43.560000Z,S,1
EQTransformer,original,BAD,0.7,2023-06-03T16:54:16.760000Z,P,2
EQTransformer,original,BAD,0.7,2023-06-03T16:54:19.950000Z,S,2
EQTransformer,original,BAD,0.7,2023-06-04T00:03:05.450000Z,P,0
EQTransformer,original,BAD,0.7,2023-06-04T00:04:23.400000Z,S,2
EQTransformer,original,BAD,0.7,2023-06-04T00:25:16.420000Z,S,2
EQTransformer,original,BAD,0.7,2023-06-05T08:29:10.700000Z,S,0
EQTransformer,original,BAD,0.7,2023-06-06T00:55:24.790000Z,P,2
EQTransformer,original,BAD,0.7,2023-06-06T00:55:27.960000Z,S,0
EQTransformer,original,BAD,0.7,2023-06-06T07:43:39.000000Z,S,0
EQTransformer,original,BAD,0.7,2023-06-09T11:33:43.710000Z,P,2
EQTransformer,original,BAD,0.7,2023-06-09T11:33:45.370000Z,S,0
EQTransformer,original,BAD,0.7,2023-06-09T11:59:23.160000Z,P,1
EQTransformer,original,BAD,0.7,2023-06-11T21:30:28.540000Z,P,0
EQTransformer,original,BAD,0.7,2023-06-11T21:30:32.310000Z,S,2
EQTransformer,original,BAD,0.7,2023-06-13T06:31:13.490000Z,P,2
EQTransformer,original,BAD,0.7,2023-06-13T06:31:19.080000Z,S,2
EQTransformer,original,BAD,0.7,2023-06-14T10:28:10.910000Z,P,0
EQTransformer,original,BAD,0.7,2023-06-18T06:16:51.470000Z,S,2
EQTransformer,original,BAD,0.7,2023-06-19T22:04:23.930000Z,P,2
EQTransformer,original,BAD,0.7,2023-06-19T22:04:29.120000Z,S,2
EQTransformer,original,BAD,0.7,2023-06-19T23:50:36.600000Z,S,2
EQTransformer,original,BAD,0.7,2023-06-21T11:59:33.040000Z,P,0
EQTransformer,original,BAD,0.7,2023-06-21T14:18:26.970000Z,P,2
EQTransformer,original,BAD,0.7,2023-06-22T13:30:18.570000Z,P,1
EQTransformer,original,BAD,0.7,2023-06-22T13:30:22.950000Z,S,3
EQTransformer,original,BAD,0.7,2023-06-23T05:22:00.620000Z,P,2
EQTransformer,original,BAD,0.7,2023-06-23T05:22:10.500000Z,S,3
EQTransformer,original,BAD,0.7,2023-06-26T03:04:17.530000Z,P,1
EQTransformer,original,BAD,0.7,2023-06-26T03:04:20.310000Z,S,3
EQTransformer,original,BAD,0.7,2023-06-28T01:24:26.430000Z,P,3
EQTransformer,original,BAD,0.7,2023-06-28T01:24:29.830000Z,S,0
EQTransformer,original,BALD,0.7,2023-06-02T02:18:29.010000Z,P,2
EQTransformer,original,BALD,0.7,2023-06-02T02:18:33.050000Z,S,2
EQTransformer,original,BALD,0.7,2023-06-03T05:18:33.900000Z,P,0
EQTransformer,original,BALD,0.7,2023-06-03T05:18:36.390000Z,S,2
EQTransformer,original,BALD,0.7,2023-06-13T17:17:08.250000Z,P,2
EQTransformer,original,BALD,0.7,2023-06-15T00:41:15.830000Z,S,2
EQTransformer,original,BOO,0.7,2023-06-03T16:54:15.310000Z,P,2
EQTransformer,original,BOO,0.7,2023-06-03T16:54:17.250000Z,S,2
EQTransformer,original,BOO,0.7,2023-06-04T00:25:20.210000Z,S,2
EQTransformer,original,BOO,0.7,2023-06-04T03:09:46.300000Z,P,2
EQTransformer,original,BOO,0.7,2023-06-04T03:09:49.960000Z,S,2
EQTransformer,original,BOO,0.7,2023-06-05T08:28:03.340000Z,P,0
EQTransformer,original,BOO,0.7,2023-06-05T08:28:40.500000Z,S,0
EQTransformer,original,BOO,0.7,2023-06-05T21:00:06.700000Z,P,3
EQTransformer,original,BOO,0.7,2023-06-05T21:00:12.270000Z,S,3
EQTransformer,original,BOO,0.7,2023-06-14T10:20:14.020000Z,S,2
EQTransformer,original,BOO,0.7,2023-06-18T06:16:50.460000Z,P,2
EQTransformer,original,BOO,0.7,2023-06-18T06:16:54.470000Z,S,1
EQTransformer,original,BOO,0.7,2023-06-22T18:52:25.410000Z,P,3
EQTransformer,original,BOO,0.7,2023-06-22T18:52:27.640000Z,S,2
EQTransformer,original,BOO,0.7,2023-06-23T05:21:59.660000Z,P,2
EQTransformer,original,BOO,0.7,2023-06-23T05:22:08.840000Z,S,2
EQTransformer,original,BOO,0.7,2023-06-24T12:58:14.880000Z,S,2
EQTransformer,original,BOO,0.7,2023-06-26T03:04:17.660000Z,P,2
EQTransformer,original,BOO,0.7,2023-06-26T03:04:20.260000Z,S,3
EQTransformer,original,BOO,0.7,2023-06-28T01:24:24.200000Z,P,2
EQTransformer,original,BOO,0.7,2023-06-28T01:24:26.110000Z,S,1
EQTransformer,original,CADS,0.7,2023-06-01T07:39:16.760000Z,P,0
EQTransformer,original,CADS,0.7,2023-06-01T23:54:27.650000Z,P,2
EQTransformer,original,CADS,0.7,2023-06-02T08:50:44.010000Z,P,2
EQTransformer,original,CADS,0.7,2023-06-02T09:06:53.900000Z,P,0
EQTransformer,original,CADS,0.7,2023-06-03T08:29:28.210000Z,P,2
EQTransformer,original,CADS,0.7,2023-06-03T08:29:29.590000Z,S,2
EQTransformer,original,CADS,0.7,2023-06-04T00:25:11.530000Z,P,1
EQTransformer,original,CADS,0.7,2023-06-04T00:25:17.910000Z,S,2
EQTransformer,original,CADS,0.7,2023-06-09T00:43:29.160000Z,P,1
EQTransformer,original,CADS,0.7,2023-06-09T00:43:32.360000Z,S,2
EQTransformer,original,CADS,0.7,2023-06-09T10:10:14.020000Z,P,0
EQTransformer,original,CADS,0.7,2023-06-09T11:29:01.950000Z,P,2
EQTransformer,original,CADS,0.7,2023-06-09T11:30:25.000000Z,S,2
EQTransformer,original,CADS,0.7,2023-06-09T11:59:20.470000Z,P,0
EQTransformer,original,CADS,0.7,2023-06-11T21:30:34.660000Z,P,3
EQTransformer,original,CADS,0.7,2023-06-11T21:30:43.390000Z,S,2
EQTransformer,original,CADS,0.7,2023-06-13T06:31:13.140000Z,S,2
EQTransformer,original,CADS,0.7,2023-06-14T10:28:09.800000Z,P,0
EQTransformer,original,CADS,0.7,2023-06-15T08:57:29.360000Z,P,2
EQTransformer,original,CADS,0.7,2023-06-16T10:03:21.360000Z,P,0
EQTransformer,original,CADS,0.7,2023-06-18T12:07:45.440000Z,P,2
EQTransformer,original,CADS,0.7,2023-06-18T12:07:51.310000Z,S,2
EQTransformer,original,CADS,0.7,2023-06-19T22:04:23.560000Z,S,2
EQTransformer,original,CADS,0.7,2023-06-19T23:49:16.390000Z,S,2
EQTransformer,original,CADS,0.7,2023-06-20T00:08:23.220000Z,S,1
EQTransformer,original,CADS,0.7,2023-06-20T03:40:33.990000Z,P,2
EQTransformer,original,CADS,0.7,2023-06-20T03:40:36.760000Z,S,2
EQTransformer,original,CADS,0.7,2023-06-21T11:59:30.130000Z,P,0
EQTransformer,original,CADS,0.7,2023-06-23T10:33:23.810000Z,P,2
EQTransformer,original,CADS,0.7,2023-06-23T10:33:31.550000Z,S,3
EQTransformer,original,CADS,0.7,2023-06-26T15:55:30.690000Z,P,2
EQTransformer,original,CADS,0.7,2023-06-26T15:55:32.280000Z,S,3
EQTransformer,original,CADS,0.7,2023-06-27T22:35:13.640000Z,P,3
EQTransformer,original,CADS,0.7,2023-06-27T22:35:18.500000Z,S,0
EQTransformer,original,CADS,0.7,2023-06-28T21:00:03.740000Z,P,0
EQTransformer,original,CADS,0.7,2023-06-28T21:01:04.500000Z,S,0
EQTransformer,original,CADS,0.7,2023-06-29T10:29:49.830000Z,P,0
EQTransformer,original,CADS,0.7,2023-06-30T01:24:18.000000Z,P,2
EQTransformer,original,CADS,0.7,2023-06-30T11:59:32.300000Z,P,0
EQTransformer,original,CAE,0.7,2023-06-01T09:53:32.530000Z,P,2
EQTransformer,original,CAE,0.7,2023-06-01T09:53:36.360000Z,S,3
EQTransformer,original,CAE,0.7,2023-06-04T17:57:11.390000Z,P,3
EQTransformer,original,CAE,0.7,2023-06-04T17:57:17.250000Z,S,2
EQTransformer,original,CAE,0.7,2023-06-05T18:20:47.890000Z,P,2
EQTransformer,original,CAE,0.7,2023-06-05T18:20:51.150000Z,S,3
EQTransformer,original,CAE,0.7,2023-06-05T21:00:03.510000Z,P,2
EQTransformer,original,CAE,0.7,2023-06-05T21:01:11.700000Z,S,3
EQTransformer,original,CAE,0.7,2023-06-10T03:34:12.190000Z,P,2
EQTransformer,original,CAE,0.7,2023-06-10T03:34:16.010000Z,S,2
EQTransformer,original,CAE,0.7,2023-06-11T21:30:32.960000Z,P,2
EQTransformer,original,CAE,0.7,2023-06-28T23:02:58.660000Z,P,1
EQTransformer,original,CAE,0.7,2023-06-28T23:03:00.590000Z,S,2
EQTransformer,original,CARE,0.7,2023-06-01T14:59:55.110000Z,P,0
EQTransformer,original,CARE,0.7,2023-06-28T10:39:46.460000Z,P,1
EQTransformer,original,CARE,0.7,2023-06-29T15:06:39.430000Z,P,0
EQTransformer,original,CIMO,0.7,2023-06-01T09:53:32.090000Z,P,2
EQTransformer,original,CIMO,0.7,2023-06-01T09:53:35.530000Z,S,2
EQTransformer,original,CIMO,0.7,2023-06-01T21:41:18.550000Z,P,2
EQTransformer,original,CIMO,0.7,2023-06-01T21:41:22.260000Z,S,3
EQTransformer,original,CIMO,0.7,2023-06-03T21:45:30.990000Z,P,2
EQTransformer,original,CIMO,0.7,2023-06-03T21:45:34.180000Z,S,2
EQTransformer,original,CIMO,0.7,2023-06-04T03:09:46.690000Z,P,1
EQTransformer,original,CIMO,0.7,2023-06-04T03:09:50.140000Z,S,3
EQTransformer,original,CIMO,0.7,2023-06-05T21:01:01.500000Z,S,2
EQTransformer,original,CIMO,0.7,2023-06-11T21:30:30.490000Z,P,2
EQTransformer,original,CIMO,0.7,2023-06-11T21:30:35.350000Z,S,3
EQTransformer,original,CIMO,0.7,2023-06-12T19:19:03.840000Z,S,2
EQTransformer,original,CIMO,0.7,2023-06-14T05:11:28.540000Z,P,2
EQTransformer,original,CIMO,0.7,2023-06-14T05:11:32.160000Z,S,2
EQTransformer,original,CIMO,0.7,2023-06-22T05:17:55.560000Z,P,2
EQTransformer,original,CIMO,0.7,2023-06-22T13:30:17.970000Z,P,1
EQTransformer,original,CIMO,0.7,2023-06-22T13:30:22.330000Z,S,2
EQTransformer,original,CIMO,0.7,2023-06-23T05:21:58.420000Z,S,2
EQTransformer,original,CIMO,0.7,2023-06-24T12:58:49.900000Z,S,2
EQTransformer,original,CIMO,0.7,2023-06-24T15:34:22.930000Z,S,2
EQTransformer,original,CIMO,0.7,2023-06-28T23:03:01.470000Z,P,1
EQTransformer,original,CIMO,0.7,2023-06-28T23:03:57.100000Z,S,2
EQTransformer,original,CIMO,0.7,2023-06-30T08:13:46.990000Z,S,3
EQTransformer,original,CLUD,0.7,2023-06-03T00:31:41.130000Z,S,2
EQTransformer,original,CLUD,0.7,2023-06-03T16:54:16.790000Z,P,2
EQTransformer,original,CLUD,0.7,2023-06-03T16:54:19.600000Z,S,2
EQTransformer,original,CLUD,0.7,2023-06-04T03:09:46.870000Z,S,0
EQTransformer,original,CLUD,0.7,2023-06-05T08:28:06.500000Z,P,2
EQTransformer,original,CLUD,0.7,2023-06-05T08:29:38.200000Z,S,0
EQTransformer,original,CLUD,0.7,2023-06-05T21:00:05.850000Z,P,3
EQTransformer,original,CLUD,0.7,2023-06-05T21:00:11.410000Z,S,3
EQTransformer,original,CLUD,0.7,2023-06-06T00:55:24.120000Z,P,2
EQTransformer,original,CLUD,0.7,2023-06-06T00:55:26.730000Z,S,2
EQTransformer,original,CLUD,0.7,2023-06-11T21:30:29.780000Z,S,0
EQTransformer,original,CLUD,0.7,2023-06-11T23:30:45.910000Z,S,2
EQTransformer,original,CLUD,0.7,2023-06-12T19:20:33.600000Z,S,2
EQTransformer,original,CLUD,0.7,2023-06-13T06:31:18.070000Z,P,3
EQTransformer,original,CLUD,0.7,2023-06-13T06:31:26.190000Z,S,2
EQTransformer,original,CLUD,0.7,2023-06-14T05:11:28.780000Z,S,2
EQTransformer,original,CLUD,0.7,2023-06-22T13:30:15.560000Z,P,2
EQTransformer,original,CLUD,0.7,2023-06-22T13:30:17.690000Z,S,1
EQTransformer,original,CLUD,0.7,2023-06-23T05:21:59.010000Z,P,2
EQTransformer,original,CLUD,0.7,2023-06-23T05:22:07.700000Z,S,3
EQTransformer,original,CLUD,0.7,2023-06-24T12:58:13.660000Z,S,3
EQTransformer,original,CLUD,0.7,2023-06-24T15:34:20.490000Z,P,2
EQTransformer,original,CLUD,0.7,2023-06-24T15:34:23.420000Z,S,2
EQTransformer,original,CTI,0.7,2023-06-01T14:59:52.970000Z,P,2
EQTransformer,original,CTI,0.7,2023-06-04T17:58:31.700000Z,S,0
EQTransformer,original,CTI,0.7,2023-06-05T21:00:12.790000Z,P,3
EQTransformer,original,CTI,0.7,2023-06-05T21:00:22.600000Z,S,3
EQTransformer,original,CTI,0.7,2023-06-10T03:34:14.510000Z,P,2
EQTransformer,original,CTI,0.7,2023-06-10T03:34:20.460000Z,S,3
EQTransformer,original,CTI,0.7,2023-06-12T19:19:14.170000Z,S,3
EQTransformer,original,CTI,0.7,2023-06-14T10:05:00.120000Z,P,0
EQTransformer,original,CTI,0.7,2023-06-15T00:41:23.230000Z,S,2
EQTransformer,original,CTI,0.7,2023-06-23T05:21:57.440000Z,P,3
EQTransformer,original,CTI,0.7,2023-06-23T05:22:05.390000Z,S,3
EQTransformer,original,CTI,0.7,2023-06-23T06:58:16.340000Z,P,3
EQTransformer,original,CTI,0.7,2023-06-23T06:58:18.670000Z,S,2
EQTransformer,original,DOSS,0.7,2023-06-01T10:02:10.620000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-01T14:59:51.480000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-03T05:18:39.310000Z,P,3
EQTransformer,original,DOSS,0.7,2023-06-04T17:57:13.220000Z,P,2
EQTransformer,original,DOSS,0.7,2023-06-04T17:57:20.400000Z,S,3
EQTransformer,original,DOSS,0.7,2023-06-08T15:19:18.660000Z,P,1
EQTransformer,original,DOSS,0.7,2023-06-08T15:34:40.290000Z,P,1
EQTransformer,original,DOSS,0.7,2023-06-09T10:13:15.030000Z,P,2
EQTransformer,original,DOSS,0.7,2023-06-09T10:13:21.210000Z,S,2
EQTransformer,original,DOSS,0.7,2023-06-09T17:32:25.540000Z,P,3
EQTransformer,original,DOSS,0.7,2023-06-09T17:32:28.440000Z,S,2
EQTransformer,original,DOSS,0.7,2023-06-12T10:04:39.710000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-12T19:19:11.210000Z,P,1
EQTransformer,original,DOSS,0.7,2023-06-13T17:17:23.620000Z,S,3
EQTransformer,original,DOSS,0.7,2023-06-14T10:04:59.540000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-14T10:35:35.380000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-22T15:16:35.350000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-23T05:22:04.160000Z,P,2
EQTransformer,original,DOSS,0.7,2023-06-23T06:58:18.880000Z,P,3
EQTransformer,original,DOSS,0.7,2023-06-23T06:58:24.360000Z,S,2
EQTransformer,original,DOSS,0.7,2023-06-26T10:10:01.280000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-27T01:38:18.070000Z,P,2
EQTransformer,original,DOSS,0.7,2023-06-27T10:46:42.110000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-29T15:06:35.770000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-29T15:08:54.030000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-29T15:17:45.250000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-29T15:23:17.370000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-29T15:32:52.310000Z,P,0
EQTransformer,original,DOSS,0.7,2023-06-29T15:33:20.710000Z,P,1
EQTransformer,original,DRE,0.7,2023-06-02T08:50:42.740000Z,P,2
EQTransformer,original,DRE,0.7,2023-06-02T09:06:54.510000Z,P,1
EQTransformer,original,DRE,0.7,2023-06-03T08:29:30.070000Z,P,2
EQTransformer,original,DRE,0.7,2023-06-03T08:29:32.100000Z,S,0
EQTransformer,original,DRE,0.7,2023-06-04T00:04:25.700000Z,S,0
EQTransformer,original,DRE,0.7,2023-06-04T00:25:15.290000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-06T07:42:10.690000Z,P,2
EQTransformer,original,DRE,0.7,2023-06-06T07:42:14.350000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-09T10:10:14.370000Z,P,0
EQTransformer,original,DRE,0.7,2023-06-09T11:29:01.450000Z,P,2
EQTransformer,original,DRE,0.7,2023-06-09T11:30:17.200000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-12T08:28:24.400000Z,P,1
EQTransformer,original,DRE,0.7,2023-06-12T08:28:29.920000Z,S,1
EQTransformer,original,DRE,0.7,2023-06-13T06:31:11.360000Z,P,0
EQTransformer,original,DRE,0.7,2023-06-13T06:31:14.740000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-16T10:03:19.860000Z,P,0
EQTransformer,original,DRE,0.7,2023-06-18T06:16:50.670000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-19T22:04:24.800000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-19T23:49:14.980000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-20T00:08:24.710000Z,S,0
EQTransformer,original,DRE,0.7,2023-06-20T03:40:34.890000Z,P,2
EQTransformer,original,DRE,0.7,2023-06-20T03:40:38.070000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-21T14:18:27.550000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-22T07:15:21.300000Z,P,0
EQTransformer,original,DRE,0.7,2023-06-22T07:15:27.470000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-23T05:22:05.740000Z,P,2
EQTransformer,original,DRE,0.7,2023-06-23T10:33:25.270000Z,P,2
EQTransformer,original,DRE,0.7,2023-06-23T10:33:34.180000Z,S,3
EQTransformer,original,DRE,0.7,2023-06-26T15:55:32.770000Z,P,2
EQTransformer,original,DRE,0.7,2023-06-26T15:55:35.450000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-27T00:56:33.850000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-28T21:00:04.700000Z,P,0
EQTransformer,original,DRE,0.7,2023-06-28T21:01:20.200000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-29T10:59:12.040000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-29T19:53:01.120000Z,S,2
EQTransformer,original,DRE,0.7,2023-06-30T07:56:40.060000Z,P,0
EQTransformer,original,DRE,0.7,2023-06-30T07:56:45.940000Z,S,3
EQTransformer,original,DST2,0.7,2023-06-04T00:25:10.780000Z,P,2
EQTransformer,original,DST2,0.7,2023-06-04T00:25:16.320000Z,S,3
EQTransformer,original,DST2,0.7,2023-06-14T09:18:19.260000Z,P,2
EQTransformer,original,DST2,0.7,2023-06-14T09:18:20.880000Z,S,2
EQTransformer,original,DST2,0.7,2023-06-22T09:03:57.820000Z,P,0
EQTransformer,original,DST2,0.7,2023-06-29T07:58:00.980000Z,P,2
EQTransformer,original,DST2,0.7,2023-06-30T01:24:18.880000Z,S,2
EQTransformer,original,FETA,0.7,2023-06-04T02:28:48.440000Z,P,2
EQTransformer,original,FETA,0.7,2023-06-04T02:28:53.830000Z,S,2
EQTransformer,original,FETA,0.7,2023-06-27T09:42:35.500000Z,P,2
EQTransformer,original,FETA,0.7,2023-06-27T10:17:26.050000Z,P,2
EQTransformer,original,FUSE,0.7,2023-06-04T03:09:45.560000Z,P,2
EQTransformer,original,FUSE,0.7,2023-06-04T03:09:48.180000Z,S,2
EQTransformer,original,FUSE,0.7,2023-06-05T08:28:04.900000Z,P,1
EQTransformer,original,FUSE,0.7,2023-06-05T08:29:09.500000Z,S,2
EQTransformer,original,FUSE,0.7,2023-06-11T21:30:28.620000Z,S,2
EQTransformer,original,FUSE,0.7,2023-06-11T23:30:42.580000Z,P,2
EQTransformer,original,FUSE,0.7,2023-06-11T23:30:44.320000Z,S,2
EQTransformer,original,FUSE,0.7,2023-06-14T05:11:31.880000Z,S,2
EQTransformer,original,FUSE,0.7,2023-06-19T00:23:30.450000Z,P,2
EQTransformer,original,FUSE,0.7,2023-06-19T00:23:32.120000Z,S,2
EQTransformer,original,FUSE,0.7,2023-06-22T13:30:15.670000Z,P,2
EQTransformer,original,FUSE,0.7,2023-06-22T13:30:17.660000Z,S,2
EQTransformer,original,FUSE,0.7,2023-06-22T18:52:24.240000Z,P,1
EQTransformer,original,FUSE,0.7,2023-06-22T18:52:26.030000Z,S,2
EQTransformer,original,FUSE,0.7,2023-06-23T05:22:08.000000Z,S,2
EQTransformer,original,FUSE,0.7,2023-06-28T01:24:23.710000Z,P,0
EQTransformer,original,FUSE,0.7,2023-06-28T01:24:25.260000Z,S,2
EQTransformer,original,FVI,0.7,2023-06-03T21:45:32.520000Z,P,2
EQTransformer,original,FVI,0.7,2023-06-03T21:45:36.420000Z,S,2
EQTransformer,original,FVI,0.7,2023-06-05T21:00:14.390000Z,S,3
EQTransformer,original,GAGG,0.7,2023-06-02T02:18:28.800000Z,P,0
EQTransformer,original,GAGG,0.7,2023-06-03T12:33:31.580000Z,S,3
EQTransformer,original,GAGG,0.7,2023-06-09T14:19:19.310000Z,P,0
EQTransformer,original,GAGG,0.7,2023-06-09T14:19:23.870000Z,S,2
EQTransformer,original,GAGG,0.7,2023-06-12T19:19:11.080000Z,P,0
EQTransformer,original,GAGG,0.7,2023-06-13T17:17:28.450000Z,S,3
EQTransformer,original,GAGG,0.7,2023-06-14T10:04:57.520000Z,P,0
EQTransformer,original,GAGG,0.7,2023-06-14T10:35:33.830000Z,P,0
EQTransformer,original,GAGG,0.7,2023-06-15T00:41:18.720000Z,S,2
EQTransformer,original,GAGG,0.7,2023-06-27T01:38:39.340000Z,S,2
EQTransformer,original,GEPF,0.7,2023-06-04T00:25:18.560000Z,S,2
EQTransformer,original,GEPF,0.7,2023-06-05T08:28:03.700000Z,P,2
EQTransformer,original,GEPF,0.7,2023-06-05T08:28:47.100000Z,S,2
EQTransformer,original,GEPF,0.7,2023-06-05T21:00:06.920000Z,P,3
EQTransformer,original,GEPF,0.7,2023-06-05T21:00:12.940000Z,S,3
EQTransformer,original,GEPF,0.7,2023-06-11T21:30:27.200000Z,P,2
EQTransformer,original,GEPF,0.7,2023-06-19T23:49:11.670000Z,S,2
EQTransformer,original,GEPF,0.7,2023-06-23T05:21:59.660000Z,P,3
EQTransformer,original,GEPF,0.7,2023-06-23T05:22:08.050000Z,S,3
EQTransformer,original,GEPF,0.7,2023-06-28T01:24:25.120000Z,P,0
EQTransformer,original,GEPF,0.7,2023-06-28T01:24:27.610000Z,S,0
EQTransformer,original,GORS,0.7,2023-06-01T23:54:24.350000Z,P,0
EQTransformer,original,GORS,0.7,2023-06-02T08:50:47.110000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-03T08:29:29.880000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-03T08:29:32.760000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-03T21:13:52.450000Z,P,1
EQTransformer,original,GORS,0.7,2023-06-04T00:25:23.790000Z,S,3
EQTransformer,original,GORS,0.7,2023-06-05T15:36:24.760000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-05T15:36:28.800000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-09T00:43:29.690000Z,P,3
EQTransformer,original,GORS,0.7,2023-06-09T00:43:33.580000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-11T21:30:38.220000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-14T00:33:52.990000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-14T00:33:58.310000Z,S,3
EQTransformer,original,GORS,0.7,2023-06-14T10:28:09.730000Z,P,0
EQTransformer,original,GORS,0.7,2023-06-18T03:46:57.640000Z,P,0
EQTransformer,original,GORS,0.7,2023-06-18T03:47:02.990000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-18T12:07:42.430000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-18T12:07:46.160000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-19T22:04:25.810000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-19T23:49:15.260000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-20T03:40:35.510000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-20T03:40:39.100000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-21T14:18:27.620000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-21T14:18:31.700000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-22T07:15:18.870000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-22T07:15:23.570000Z,S,3
EQTransformer,original,GORS,0.7,2023-06-23T10:33:20.250000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-23T10:33:24.920000Z,S,3
EQTransformer,original,GORS,0.7,2023-06-26T15:55:32.190000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-26T15:55:34.190000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-27T22:35:11.290000Z,P,0
EQTransformer,original,GORS,0.7,2023-06-27T22:35:15.100000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-28T08:33:00.740000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-28T08:34:02.500000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-28T21:01:28.200000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-29T10:59:03.180000Z,P,2
EQTransformer,original,GORS,0.7,2023-06-29T11:00:21.100000Z,S,3
EQTransformer,original,GORS,0.7,2023-06-29T19:53:01.240000Z,P,0
EQTransformer,original,GORS,0.7,2023-06-29T19:53:47.600000Z,S,2
EQTransformer,original,GORS,0.7,2023-06-30T01:24:17.880000Z,P,2
EQTransformer,original,KBA,0.7,2023-06-12T19:19:10.020000Z,P,2
EQTransformer,original,KOSI,0.7,2023-06-01T10:02:12.460000Z,P,0
EQTransformer,original,KOSI,0.7,2023-06-01T14:59:53.490000Z,P,0
EQTransformer,original,KOSI,0.7,2023-06-04T17:57:14.410000Z,P,2
EQTransformer,original,KOSI,0.7,2023-06-08T15:19:20.880000Z,P,1
